model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,debias_threshold,model_alpha,weight_eps,weight_std
120_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.7757786350021516,0.0009469378911995572,0.0001
136_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,19.922733052162783,4.4449784710683543e-07,0.001
167_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,0.01
117_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.0001
47_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,1e-06
53_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,1e-06
164_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,0.01
130_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,0.001
40_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,1e-06
138_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00011228413129239159,1.2491870327582288e-06,0.001
123_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,0.001
192_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,0.1
185_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,0.1
129_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2466.160386850043,0.010342237509875594,0.001
63_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,1e-05
74_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,1e-05
54_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,1e-06
183_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,0.1
173_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,0.01
111_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.002007566187578647,1.7594534826497084e-06,0.0001
152_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,188.19349978921883,0.0012137587328424069,0.01
87_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,1e-05
84_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,1e-05
160_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,0.01
