model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,model_alpha,weight_eps,weight_std
61_model,323.5396919165057,549.9568611374092,22019.199352136886,4603224.150482319,218.80929440143143,0.0,771055.942613652,hydrogen_bromine_ode.csv,hydrogen_bromine,286.52162191429545,3.323668111696107e-07,1e-05
146_model,0.02091582692800555,0.2349162937697912,0.39592847189515595,4.0419408610511365,0.0019908947003008906,0.0,0.7826153913907317,hydrogen_bromine_ode.csv,hydrogen_bromine,8.575795876872198e-05,9.440619113735458e-07,0.001
180_model,266.8232713789661,1470.5728551429013,43121.655826582566,2260559.125390091,191.77322906174112,0.0,384268.3250953762,hydrogen_bromine_ode.csv,hydrogen_bromine,0.7757786350021516,0.0009469378911995572,0.01
166_model,319.0005298836549,647.4873914762268,22705.225358988908,4548041.236540392,225.8553258111158,0.0,761989.8008577587,hydrogen_bromine_ode.csv,hydrogen_bromine,19.922733052162783,4.4449784710683543e-07,0.01
50_model,0.015778711319936474,0.14908666046127142,0.24143751602354985,3.1590648492627746,0.0014923893607627489,0.0,0.5944766877380492,hydrogen_bromine_ode.csv,hydrogen_bromine,0.0015436272481452666,0.0005076315792529729,1e-06
202_model,322.8357817075739,547.3734878432745,21893.935401004106,4580381.752733717,219.5892345036845,0.0,767227.5811064626,hydrogen_bromine_ode.csv,hydrogen_bromine,795261.8231250104,0.01586752352583566,0.1
198_model,0.006892951535657886,0.12982233790076234,0.7243575547442482,7.323817824281817,0.0016655249118736647,0.0,1.3644260322290596,hydrogen_bromine_ode.csv,hydrogen_bromine,0.00011228413129239159,1.2491870327582288e-06,0.1
23_model,323.22240128653857,549.4695998792123,21980.726021508075,4607835.663375763,221.03241382695242,0.0,771818.352302044,hydrogen_bromine_ode.csv,hydrogen_bromine,47963.634378534756,0.0020148991027690694,0.0
2_model,329.9673157858492,604.3911867249547,27089.600086013204,4773751.507753537,247.1105843791403,0.0,800337.0961544067,hydrogen_bromine_ode.csv,hydrogen_bromine,188.19349978921883,0.0012137587328424069,0.0
98_model,313.24037080600067,1810.508222910875,60293.49749286354,3530044.671158881,293.4481290724748,0.0,598792.5608957555,hydrogen_bromine_ode.csv,hydrogen_bromine,0.01888717029071998,1.6969191344518737e-07,0.0001
20_model,0.01577629112677033,0.1490845364910035,0.24126941920824085,3.1562211434794314,0.001490989784659538,0.0,0.5939737300150176,hydrogen_bromine_ode.csv,hydrogen_bromine,0.0015436272481452666,0.0005076315792529729,0.0
158_model,313.3992745556447,1810.7953484662366,60321.284419919815,3532055.7469151514,291.4302874036725,0.0,599132.1093742495,hydrogen_bromine_ode.csv,hydrogen_bromine,0.01888717029071998,1.6969191344518737e-07,0.01
164_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1.035332122467128e-06,6.461810446057677e-06,0.01
109_model,364.01365306446326,1369.3336847519797,74377.78767125972,5847865.819448099,418.0728390768024,0.0,987399.1712160419,hydrogen_bromine_ode.csv,hydrogen_bromine,2.206398496897977,6.550444410687666e-05,0.0001
170_model,0.013386954215075457,0.13941150595415613,0.24814696482629248,3.1518781837702594,0.0014830767809756737,0.0,0.5923844475911265,hydrogen_bromine_ode.csv,hydrogen_bromine,0.0015436272481452666,0.0005076315792529729,0.01
7_model,0.009696530980862405,0.0012663220734962471,0.0004398200185319979,28.228712535478678,0.0003531874851816608,0.0,4.706744732672791,hydrogen_bromine_ode.csv,hydrogen_bromine,2.8317284209433966e-06,3.301703102308238e-06,0.0
210_model,277.2979795268681,1556.114179852703,46601.86171378626,2502866.71624023,215.91911116618454,0.0,425252.9848707603,hydrogen_bromine_ode.csv,hydrogen_bromine,0.7757786350021516,0.0009469378911995572,0.1
